time,gsr
0.0,25642.0119955093
1.0,25612.04805646156
2.0,25929.96778760079
3.0,26230.692322341958
4.0,26354.70688789529
5.0,26525.095600168414
6.0,26677.79817729471
7.0,26812.586457016318
8.0,26867.69962254136
9.0,26732.722397946913
10.0,26526.97561079679
11.0,26536.691772629914
12.0,26649.772069965267
13.0,26441.178914986893
14.0,26207.005315396957
15.0,26177.52632504273
16.0,26041.31583253095
17.0,25703.645903902703
18.0,25532.149593698836
19.0,25566.942877132016
20.0,25918.65854893979
21.0,26220.326058513296
22.0,26419.16202980081
23.0,26583.848613411792
24.0,26635.26496553699
25.0,26766.445116101415
26.0,26961.247149417006
27.0,27107.714432586494
28.0,26879.92772061681
29.0,26649.313641708643
30.0,26612.529291297258
31.0,26704.235189068568
32.0,26526.158209233752
33.0,26320.075964143645
34.0,26338.084575534816
35.0,26475.12632281724
36.0,26569.80297487836
37.0,26700.278665995193
38.0,26926.792203861085
39.0,27065.261639765056
40.0,27088.393435070822
41.0,27151.80858649264
42.0,27237.364385497553
43.0,26892.738514391516
44.0,26561.619438353846
45.0,26488.808302946512
46.0,26596.685601367742
47.0,26849.399202616052
48.0,27033.840974320403
49.0,27224.448735696827
50.0,27308.935389649683
51.0,27350.98961504783
52.0,27383.984605485028
53.0,27403.980310156032
54.0,27515.53501520248
55.0,27549.63079066854
56.0,27590.622265710525
57.0,27651.97250453406
58.0,27765.307959848644
59.0,27807.020015065485
60.0,27896.40598123606
61.0,27907.11434575191
62.0,28009.308033231482
63.0,28112.637494434028
64.0,28196.760204645056
65.0,28336.39384483136
66.0,28468.652648891537
67.0,28536.68072212521
68.0,28578.929341212723
69.0,28701.85898039693
70.0,28750.231890884177
71.0,28796.56386078366
72.0,28851.97633047462
73.0,28831.509943632584
74.0,28882.092301689925
75.0,28973.281517137435
76.0,29065.0404787662
77.0,29009.393925151366
78.0,28721.837522560694
79.0,28110.49396101803
80.0,27637.521727402287
81.0,27444.70276364024
82.0,27464.602144353776
83.0,27560.24742258319
84.0,27548.647209135735
85.0,27557.075422225662
86.0,27678.238266443186
87.0,27812.59575248591
88.0,27923.997971585588
89.0,27995.3188253947
90.0,28097.05188729064
91.0,28167.01796917728
92.0,28054.198191401294
93.0,27863.099886045704
94.0,27759.57988828089
95.0,27811.539353040003
96.0,27933.360322913286
97.0,28106.50376559552
98.0,28221.297321488913
99.0,28423.966997821804
100.0,28616.17189103624
101.0,28571.763652943595
102.0,28338.925296197624
103.0,28172.579359784075
104.0,28240.93862325286
105.0,28362.343506143094
106.0,28439.285990826065
107.0,28433.927439727857
108.0,27926.67261616688
109.0,27498.539186590795
110.0,27485.45023713378
111.0,27611.399025081522
112.0,27773.07771734465
113.0,27964.376338071503
114.0,27982.93691952554
115.0,27958.67990679652
116.0,27876.059373733242
117.0,27398.760269277045
118.0,26872.452346992643
119.0,26544.289053035514
120.0,26221.981003250483
121.0,26114.831402210177
122.0,26153.52575178077
123.0,25880.133681531966
124.0,25589.897487171693
125.0,25674.57400311438
126.0,25918.155183337876
127.0,26030.103705329166
128.0,26137.422187788194
129.0,26382.13848086912
130.0,26672.992322409867
131.0,26957.189792744844
132.0,27174.91414963326
133.0,27298.448685881398
134.0,27340.699006840106
135.0,27454.33666923281
136.0,27572.51811908398
137.0,27582.287029055973
138.0,27645.807198348164
139.0,27579.476396357204
140.0,27472.054787025678
141.0,27412.181564659964
142.0,27521.594549844067
143.0,27647.87015613032
144.0,27795.927642709034
145.0,27910.825681735303
146.0,27906.905890161615
147.0,27894.17755944434
148.0,27949.106086746455
149.0,27996.797448226174
150.0,28071.357609245082
151.0,28134.90790643455
152.0,28170.98621871182
153.0,28231.93289523103
154.0,28326.63188604067
155.0,28372.898865015253
156.0,28248.351356913907
157.0,28165.440221937206
158.0,28136.43560267371
159.0,28178.2149722336
160.0,28227.326061386128
161.0,28213.59142808131
162.0,28084.448341649684
163.0,28034.167038536973
164.0,28009.380452060122
165.0,27945.94142811391
166.0,27861.31246862442
167.0,27781.558593340447
168.0,27758.813486845534
169.0,27813.50254951322
170.0,27922.051234214166
171.0,27959.96356194657
172.0,28031.436672006406
173.0,28112.290391416755
174.0,28157.613792167816
175.0,28221.402200544544
176.0,27639.778436673085
177.0,26761.755754013084
178.0,26348.96732560426
179.0,26267.18373223782
180.0,26260.69331178371
181.0,26447.883754399645
182.0,26700.074899028034
183.0,26934.436396977857
184.0,27256.3599021484
185.0,27485.4869414543
186.0,27642.480422558074
187.0,27749.109626765996
188.0,27902.916636163678
189.0,28016.980038235088
190.0,28090.349718944562
191.0,28178.22171811823
192.0,28141.319231086825
193.0,28187.420412814325
194.0,28298.579329256343
195.0,28394.033096830826
196.0,28562.08114681582
197.0,28693.339059367667
198.0,28753.89192291237
199.0,28904.97360700923
200.0,28997.728203534247
201.0,29061.59969563929
202.0,29077.017574547008
203.0,29093.73369909109
204.0,29036.31124705849
205.0,29030.195181861134
206.0,28967.793613604408
207.0,28706.381204103036
208.0,28435.296374437996
209.0,28337.901012799324
210.0,28234.211703677858
211.0,28308.634146192293
212.0,28458.733774925873
213.0,28651.87722146517
214.0,28754.85716848861
215.0,28898.04704737449
216.0,28975.133858338886
217.0,28941.417356080245
218.0,28865.272569201345
219.0,28907.75070623203
220.0,28991.42040996296
221.0,29129.28163515106
222.0,29230.72003036869
223.0,29226.003368058875
224.0,29289.689708151258
225.0,29394.783452258336
226.0,29485.164332241755
227.0,29548.55251053442
228.0,29678.995866387562
229.0,29757.26204405122
230.0,29777.7788211471
231.0,29907.96669779734
232.0,29881.6002487381
233.0,29842.800073142644
234.0,29883.384701490784
235.0,29950.59756745329
236.0,30037.956877477467
237.0,29912.02177656871
238.0,29869.362319149113
239.0,29784.049077374053
240.0,29686.245053252533
241.0,29668.515227905744
242.0,29690.994514979182
243.0,29744.2009157081
244.0,29752.810945949474
245.0,29841.254979395933
246.0,29715.93727548642
247.0,29596.25297643509
248.0,29529.151431335602
249.0,29557.670350108987
250.0,29630.07696086311
251.0,29759.457597756256
252.0,29882.38179656492
253.0,30031.582583934673
254.0,30126.57618252463
255.0,30220.218602436147
256.0,30329.3722087787
257.0,30372.158637068464
258.0,30428.241184871105
259.0,30499.383628815638
260.0,30551.738878847635
261.0,30681.142738010712
262.0,30727.742057592463
263.0,30815.973393476113
264.0,30832.31288148099
265.0,30899.348420281025
266.0,30939.076148912405
267.0,30962.13517172238
268.0,30931.021959695303
269.0,30863.486671477927
270.0,30833.145927989273
271.0,30834.13921746485
272.0,30938.045230475476
273.0,30949.272358414102
274.0,30966.70485671475
275.0,30993.61978180919
276.0,31004.97430951817
277.0,30760.62297508629
278.0,30479.255073492975
279.0,30385.45036569216
280.0,30392.979582425854
281.0,30408.31968553723
282.0,30476.38085661566
283.0,30531.61323671646
284.0,30563.681364626817
285.0,30633.577421881837
286.0,30676.27121772911
287.0,30795.53196085475
288.0,30864.519534548668
289.0,30873.237497140814
290.0,30967.155397232193
291.0,30998.106935939195
292.0,30904.064888874265
293.0,30787.280206386757
294.0,30711.656230637327
295.0,30701.50071150563
296.0,30785.765035769007
297.0,30544.973991302388
298.0,30155.925466910478
299.0,29863.980449193394
300.0,29600.50500526894
301.0,29385.59296324513
302.0,29244.440369875345
303.0,29280.5003136737
304.0,29465.34033623093
305.0,29669.975454961837
306.0,29895.42553018844
307.0,30081.810006090935
308.0,30189.543482539964
309.0,30322.19507650491
310.0,30398.755215918078
311.0,30541.863612267676
312.0,30638.08281110382
313.0,30764.161834080136
314.0,30827.830616967185
315.0,30930.681852513604
316.0,31044.653516888597
317.0,31149.608434763795
318.0,31214.890992287197
319.0,31179.78788251737
320.0,31219.895565227744
321.0,31263.906330611353
322.0,31316.854559673004
323.0,31339.814937730334
324.0,31380.24268078412
325.0,31349.59655599193
326.0,31387.456107364727
327.0,31405.014100826338
328.0,31381.22313789525
329.0,31393.396228674486
330.0,31297.579754386054
331.0,30752.716232401046
332.0,29872.578920405547
333.0,29312.872698105697
334.0,29198.570394476
335.0,29384.20618816719
336.0,29605.093094886215
337.0,29860.34827372144
338.0,30066.160904407196
339.0,30229.284858586943
340.0,30358.77408985114
341.0,30500.552405218317
342.0,30586.372504037456
343.0,30632.41379426117
344.0,30649.84311035619
345.0,30739.229200131085
346.0,30859.923207188585
347.0,30896.4598801902
348.0,30990.19775181025
349.0,30893.699914222736
350.0,30931.20921036976
351.0,30841.62756001228
352.0,30682.594283711675
353.0,29860.498248438093
354.0,28475.73433769306
355.0,27033.467872986934
356.0,25331.797305606273
357.0,24162.316575766105
358.0,22871.526550182018
359.0,21799.44455233432
360.0,20863.208635400297
361.0,20344.83201833821
362.0,20049.158216378833
363.0,19966.726699249033
364.0,20403.432849914298
365.0,21175.567405196896
366.0,22002.808705803396
367.0,22640.1532078376
368.0,22944.694662165246
369.0,23152.853935863644
370.0,23452.913743099336
371.0,23788.479560773114
372.0,23962.998700944954
373.0,24027.948516150922
374.0,24221.1515271046
375.0,24453.85319539972
376.0,24709.57294587542
377.0,24845.940648624754
378.0,24962.318965692713
379.0,24994.580807848743
380.0,25040.175810510787
381.0,25140.94432127541
382.0,25232.369939133016
383.0,25401.44252644784
384.0,25624.632864934905
385.0,25775.64900569895
386.0,25852.453111461044
387.0,25866.61169575954
388.0,25032.808341937875
389.0,24135.870190426453
390.0,23849.476672694782
391.0,24059.22839875964
392.0,24377.790324829555
393.0,24698.012242694313
394.0,24964.133189216984
395.0,25195.27964030632
396.0,25033.8191260575
397.0,24682.423576491612
398.0,24574.58738529648
399.0,24732.026385360492
400.0,24954.007526768626
401.0,25092.14585223559
402.0,25353.51270936214
403.0,25547.417651899003
404.0,25724.858402896825
405.0,25800.666646918286
406.0,25623.66175154267
407.0,25528.82784754082
408.0,25604.34061286886
409.0,25732.284278433857
410.0,25880.411350756178
411.0,26047.121092366862
412.0,26171.680952160823
413.0,26288.695454510394
414.0,26407.100482044916
415.0,26522.36781670469
416.0,26632.69053643685
417.0,26685.750311166048
418.0,26739.425166573354
419.0,26816.7706421756
420.0,26914.84013924816
421.0,27032.38120836197
422.0,27133.41194895753
423.0,27253.406054095904
424.0,27324.350384079884
425.0,27348.31944319685
426.0,27020.007477215717
427.0,26493.16656252038
428.0,26238.005753536192
429.0,26269.38800499927
430.0,26385.087340352125
431.0,26580.476789897733
432.0,26733.496579448278
433.0,26820.217077811267
434.0,26942.06146732143
435.0,27095.770301241177
436.0,27247.004762651
437.0,27334.78081830427
438.0,27376.778213847734
439.0,27546.74758895491
440.0,27635.920168904868
441.0,27636.366376286045
442.0,27583.472386658374
443.0,27574.302138971325
444.0,27579.746878952446
445.0,27537.64604748886
446.0,27619.448882453307
447.0,27736.036287306808
448.0,27862.753272873724
449.0,27960.51893070781
450.0,28034.47054651341
451.0,28183.081916443036
452.0,28229.323299874908
453.0,28156.17667848819
454.0,28072.505284034894
455.0,28075.272795849145
456.0,28184.110437613315
457.0,28266.93477122377
458.0,28351.435862633873
459.0,28471.17547801636
460.0,28603.29771627362
461.0,28731.64589421724
462.0,28830.82005464346
463.0,28910.193871496154
464.0,28925.280867214708
465.0,28949.824006253617
466.0,28850.53691501382
467.0,28788.310751980083
468.0,28732.50182980702
469.0,28823.74655726042
470.0,28897.097512125492
471.0,29015.01976816358
472.0,29144.82352410844
473.0,29146.769604782414
474.0,28905.886450305337
475.0,27991.047350654702
476.0,27278.536801921553
477.0,27142.99675644531
478.0,27281.712663876213
479.0,27495.396314817248
480.0,27791.166065679918
481.0,28084.98979509739
482.0,28376.256568530996
483.0,28595.357752887245
484.0,28748.800147954847
485.0,28879.178759505427
486.0,28950.09229442659
487.0,29077.782855494203
488.0,29196.448746255344
489.0,29294.49876350031
490.0,29404.80227172257
491.0,29475.36255745912
492.0,29554.07825743574
493.0,29638.2972735036
494.0,29743.1001399699
495.0,29822.56447837912
496.0,29781.517017160004
497.0,29779.7585980717
498.0,29853.903583303632
499.0,29929.939208296062
500.0,29793.366919139415
501.0,29304.618845454745
502.0,28364.47133664361
503.0,27568.098748851135
504.0,26859.5121350306
505.0,26178.32905071095
506.0,24961.09481622084
507.0,23958.10336532213
508.0,23656.75258714077
509.0,23739.093790088355
510.0,24145.855064958338
511.0,24598.20774015223
512.0,24908.967058779792
513.0,25263.917326370472
514.0,25679.45751540285
515.0,26059.906159671285
516.0,26333.867482809146
517.0,26580.840399456276
518.0,26774.166622717566
519.0,26909.06354808131
520.0,27083.60815885305
521.0,27128.8655790423
522.0,27183.185862340742
523.0,27280.917927451763
524.0,27140.202771850985
525.0,27062.04546491219
526.0,27180.0798260855
527.0,27268.53124045484
528.0,27315.037734565063
529.0,27321.166673054206
530.0,27341.007101651456
531.0,27110.105922811927
532.0,26805.370379204644
533.0,26657.737485922986
534.0,26529.275136589084
535.0,26483.09293306832
536.0,26431.25397926772
537.0,26380.5853043128
538.0,25957.294309710443
539.0,24818.219755618607
540.0,24169.90279996029
541.0,24189.062535404504
542.0,24484.844178001746
543.0,24827.514848997493
544.0,25170.196516382377
545.0,25529.253427817523
546.0,25708.99974001405
547.0,25816.57641168323
548.0,25953.797557195925
549.0,26096.234629065388
550.0,26181.85440400989
551.0,26299.019080596052
552.0,26435.25035848235
553.0,26536.023338220697
554.0,26622.124584021723
555.0,26791.06753077721
556.0,26928.087622019386
557.0,26980.241491289868
558.0,26987.74370195412
559.0,27051.519799846457
560.0,27134.91973455646
561.0,27043.494109655796
562.0,26809.199310753927
563.0,26652.928008316238
564.0,26701.756813319662
565.0,26787.723470832196
566.0,26908.006513164575
567.0,27037.327037644056
568.0,27136.83473029922
569.0,27164.24038926667
570.0,26920.697086242333
571.0,26580.957637287087
572.0,26417.95451984783
573.0,26512.439103850767
574.0,26707.486818039324
575.0,26832.40675623244
576.0,26834.795676468628
577.0,26780.703651344265
578.0,26858.177507311244
579.0,26975.7491579091
580.0,26936.60126443488
581.0,26872.72793442056
582.0,26869.8335999864
583.0,26833.12192954567
584.0,26808.261114065317
585.0,26890.47760359684
586.0,27044.703721589503
587.0,27194.090470565818
588.0,27309.935233315256
589.0,27448.054475672667
590.0,27570.580924841815
591.0,27719.050893073894
592.0,27812.53443835771
593.0,27872.497223752012
594.0,27854.953893290898
595.0,27973.64311903291
596.0,27999.19087784667
597.0,28082.21112404375
598.0,28103.36304684729
599.0,27703.59024054276
600.0,27291.281562224627
601.0,27208.21547949234
602.0,27244.203533339576
603.0,27032.9402544834
604.0,26795.62635353108
605.0,26880.8885128872
606.0,27106.093753023946
607.0,27257.255848967052
608.0,27457.74288335466
609.0,27655.87799125567
610.0,27843.20883241565
611.0,27861.587934382736
612.0,27784.567628070112
613.0,27748.220322387253
614.0,27849.815893803403
615.0,27977.5553321514
616.0,27892.347071084183
617.0,27061.614069276387
618.0,25551.85686770598
619.0,24640.031415817917
620.0,24584.947265431827
621.0,24957.009844468183
622.0,25308.86377600956
623.0,25575.620326459302
624.0,25922.975018535584
625.0,26174.13936105943
626.0,26386.74690298292
627.0,26359.910559342276
628.0,26138.76528914123
629.0,25998.546730659495
630.0,26062.617040861016
631.0,25992.130533170617
632.0,25448.41833042826
633.0,24898.71216405325
634.0,24535.565222983132
635.0,24512.1143923055
636.0,24765.2491742945
637.0,24753.25390868885
638.0,24515.044758266537
639.0,24464.08738000994
640.0,24509.970442483507
641.0,24066.46241259754
642.0,22900.081603250994
643.0,22235.58612608812
644.0,22489.53636249969
645.0,22967.016941304923
646.0,23508.70824181613
647.0,23993.969843351093
648.0,24455.748752958476
649.0,24773.622191479837
650.0,24804.217047234615
651.0,24717.193878213126
652.0,24770.33351273319
653.0,24964.18170194196
654.0,25201.48237122824
655.0,25477.325870580793
656.0,25675.575317142728
657.0,25839.707703359585
658.0,25998.52685029604
659.0,26138.47577795782
660.0,26277.887746205535
661.0,26403.890013723605
662.0,26571.907914212396
663.0,26718.035245872074
664.0,26803.469670542807
665.0,26924.476351958994
666.0,27046.330648033952
667.0,27118.109150580516
668.0,27177.983216654873
669.0,27164.736629647996
670.0,27228.90658733366
671.0,27223.485570892597
672.0,27157.503940483228
673.0,27043.90005892094
674.0,26318.136692565502
675.0,25303.770051888445
676.0,24385.749598876646
677.0,24117.38851531056
678.0,24342.36061402675
679.0,24682.096098718932
680.0,24978.46472189189
681.0,25233.646355731144
682.0,25494.63147906993
683.0,25738.404014922184
684.0,26012.819847459774
685.0,26172.78861499361
686.0,26387.587266121845
687.0,26490.059104258027
688.0,26563.669019461355
689.0,26653.54620354464
690.0,26759.724106492395
691.0,26895.156454202304
692.0,27032.542215941427
693.0,27177.538461350563
694.0,27267.605563071247
695.0,27240.96660217363
696.0,27024.91333544204
697.0,26841.97594246764
698.0,26366.361996063326
699.0,25114.830441560378
700.0,23438.90920271872
701.0,22321.27716749809
702.0,22199.634114376604
703.0,22609.435922553464
704.0,22831.86125527064
705.0,22556.396458900163
706.0,22491.566848097864
707.0,22815.068840442036
708.0,23261.1932260366
709.0,23724.060597869
710.0,24093.302874050572
711.0,24466.246465352197
712.0,24777.98893507698
713.0,25003.218039552456
714.0,25197.236885039445
715.0,25369.061093376484
716.0,25560.888178105546
717.0,25751.88528920226
718.0,25918.578246359746
719.0,25662.425918881858
720.0,25288.161757649355
721.0,25112.268680259
722.0,25193.162978647902
723.0,25398.226691055534
724.0,25630.41762671143
725.0,25883.121145332076
726.0,26068.78430813155
727.0,26260.096337440533
728.0,26425.78299875321
729.0,26537.139265640537
730.0,26611.418245978333
731.0,26774.045059262142
732.0,26853.81046344922
733.0,26861.191871864103
734.0,26875.48422932077
735.0,26886.6018404855
736.0,26882.171850832063
737.0,26886.422793994534
738.0,26963.87777080445
739.0,27078.116405953697
740.0,27050.25821925025
741.0,27063.042287386284
742.0,26630.526104259985
743.0,26168.970640312706
744.0,26121.224047508465
745.0,26272.40440067564
746.0,26515.96711316208
747.0,26752.48640849957
748.0,26991.582258129158
749.0,27011.12733515756
750.0,27105.383109767048
751.0,27205.20684677163
752.0,27350.71551052865
753.0,27489.71135718507
754.0,27480.499667516237
755.0,27496.949830703263
756.0,27637.680408007258
757.0,27749.24567712369
758.0,27585.333314004933
759.0,26473.97610805399
760.0,25398.278952945577
761.0,25018.07058920092
762.0,25081.54704877581
763.0,25361.599261119773
764.0,25714.498571758388
765.0,26055.687758477063
766.0,26258.640679366014
767.0,26514.292358289338
768.0,26766.59274885003
769.0,26961.425860432388
770.0,27196.1269559042
771.0,27300.069881058305
772.0,27380.804315691526
773.0,27513.49507051085
774.0,27614.762390697222
775.0,27713.919095849567
776.0,27838.317158602687
777.0,27902.0816125279
778.0,27994.520267486885
779.0,28003.254644420573
780.0,28063.599160702463
781.0,28156.278521257853
782.0,28207.350657909643
783.0,28197.225692891996
784.0,28211.343231282633
785.0,28256.60178890298
786.0,28392.346156573654
787.0,28481.97087288621
788.0,28525.98038570907
789.0,28634.710330769052
790.0,28671.57549735353
791.0,28746.92628366516
792.0,28737.139892587365
793.0,28745.735880795328
794.0,28793.85476317593
795.0,28860.66636524847
796.0,28906.83968161612
797.0,28942.05739513423
798.0,28759.209459771828
799.0,28739.725971863598
800.0,28806.406044601055
801.0,28848.609115538733
802.0,28959.29564733191
803.0,29023.210134544803
804.0,28977.277801541342
805.0,28933.92548372531
806.0,28890.00274160788
807.0,29007.176611286915
808.0,29135.738708999885
809.0,29223.846604077462
810.0,29285.08624835917
811.0,29340.682846854234
812.0,29389.012281607727
813.0,29239.404807890547
814.0,29194.670720449696
815.0,29258.72742295664
816.0,29298.293463804024
817.0,29336.44270973465
818.0,29371.078513071574
819.0,29440.097298986475
820.0,29488.79560618437
821.0,29330.691557599654
822.0,29189.077903849997
823.0,29131.178592365148
824.0,29107.47124717592
825.0,29046.21430681911
826.0,28835.34165622951
827.0,27801.850652930614
828.0,26893.85118491173
829.0,26546.629565809144
830.0,26599.56088049559
831.0,26966.914980717294
832.0,27366.42910478312
833.0,27642.65417110827
834.0,27862.20947860654
835.0,28062.249566967195
836.0,28273.046745817934
837.0,28372.771557785258
838.0,28515.20382842908
839.0,28614.86277282872
840.0,28570.69629744142
841.0,28549.957982038282
842.0,28547.807130245357
843.0,28660.44495344825
844.0,28760.150338951324
845.0,28786.463175462093
846.0,28604.147812361447
847.0,28451.803991579556
848.0,28397.70403181953
849.0,28371.453385091983
850.0,28211.01348424641
851.0,27879.79438184204
852.0,27570.196282016233
853.0,27422.224712235504
854.0,27193.46950946138
855.0,26818.333495642284
856.0,26475.292905296734
857.0,26216.739086695507
858.0,25725.93975567568
859.0,25337.105057969064
860.0,25214.068288255097
861.0,25332.327727519078
862.0,25667.577073314067
863.0,25698.2306379887
864.0,25272.396676560267
865.0,25057.084415029327
866.0,25264.744911200425
867.0,25643.338572508612
868.0,26007.13637341796
869.0,26353.58512595012
870.0,26634.437798748513
871.0,26895.058591999503
872.0,27052.23900029056
873.0,27222.64410694793
874.0,27279.893852565558
875.0,27445.935067300325
876.0,27584.91652995185
877.0,27688.278346754836
878.0,27268.578470528133
879.0,26845.10173221805
880.0,26703.44586329085
881.0,26789.780994595105
882.0,27002.18040085145
883.0,27172.41834086505
884.0,27313.593827410878
885.0,27457.630028091655
886.0,27541.9925401322
887.0,27614.984929744587
888.0,27664.1259586597
889.0,27799.51828710553
890.0,27899.85141795028
891.0,28015.50340303968
892.0,28118.24974129526
893.0,28246.266417348706
894.0,28351.479018887272
895.0,28406.55620981939
896.0,28470.646152957175
897.0,28537.940542673692
898.0,28574.478698114443
899.0,28618.372788981244
900.0,28617.48495216889
901.0,28637.6111940993
902.0,28629.079339506894
903.0,28743.847435985022
904.0,28775.319623209398
905.0,28855.956237475835
906.0,28964.113393727337
907.0,29115.722547272708
908.0,29174.244468821085
909.0,29239.042159488403
910.0,29277.578782060067
911.0,29213.29012287692
912.0,29081.668155385247
913.0,29003.326822053634
914.0,28934.88803259804
915.0,28957.031078928878
916.0,29061.275261716415
917.0,29138.705044637172
918.0,29251.80646380188
919.0,29318.793704299587
920.0,29341.208459327536
921.0,29357.661810546786
922.0,29367.03131362542
923.0,29304.152771795583
924.0,29330.989425404463
925.0,29287.798645138493
926.0,29277.370835710204
927.0,29313.999244641836
928.0,29336.083963326822
929.0,29404.51436373347
930.0,29447.96740899769
931.0,29225.42274429755
932.0,28894.683503469452
933.0,28430.00679058363
934.0,27356.022188828007
935.0,26206.62749169076
936.0,25358.884304341387
937.0,25003.12855658095
938.0,25078.120746786615
939.0,25125.348096787202
940.0,25254.249122578593
941.0,25077.10622459173
942.0,24805.781585844037
943.0,24215.69128398389
944.0,23736.026773174643
945.0,23761.20644494307
946.0,24048.1420505433
947.0,24343.502156513823
948.0,24550.952039161348
